,user_id
0,19719361
1,19719772
2,19721483
3,19721699
4,19721897
5,19721993
6,19722176
7,19722754
8,19723656
9,19724089
10,19726647
11,19732509
12,19732720
13,19732836
14,19733470
15,19735229
16,19737356
17,19737417
18,19739015
19,19739634
20,19741905
21,19742234
22,19742295
23,19742300
24,19743035
25,19743258
26,19743752
27,19745833
28,19750017
30,19755096
31,19755838
32,19757421
33,19760095
34,19761189
35,19761686
36,19761700
37,19762237
38,19764278
39,19764842
40,19766688
41,19767784
42,19771309
44,19772246
45,19773663
46,19774798
47,19775386
48,19775519
49,19775581
50,19775800
52,19779675
53,19781446
54,19782454
55,19784511
56,19785271
57,19785978
58,19786340
59,19788179
60,19792583
61,19795985
62,19796499
63,19797870
64,19798216
65,19798457
66,19799170
67,19799597
68,19799642
69,19800175
71,19800939
72,19801005
73,19802740
74,19805377
75,19809670
77,19812696
78,19812731
79,19814305
80,19814884
81,19816381
82,19818626
83,19819103
84,19819505
85,19819695
86,19820160
87,19820243
88,19821227
89,19821379
90,19821953
91,19822986
92,19823475
93,19823903
94,19824346
95,19829467
96,19829894
97,19830068
98,19830544
99,19832234
100,19834524
101,19835175
102,19838576
103,19839000
104,19839306
105,19839824
106,19840183
107,19840621
108,19841024
109,19841132
110,19841622
111,19842873
112,19843520
113,19844119
114,19848095
115,19848719
116,19848737
117,19848822
118,19849180
120,19850571
121,19850851
122,19853114
123,19856109
124,19857877
125,19860068
126,19860493
127,19861958
128,19862142
129,19862285
130,19862641
131,19863350
132,19867675
133,19869945
134,19869999
135,19870664
136,19870664
137,19871673
138,19871986
140,19873741
141,19874741
142,19876864
143,19878180
144,19878202
145,19878533
146,19878889
147,19879643
148,19881220
149,19882707
150,19888109
151,19891722
152,19892318
153,19894159
154,19895115
155,19895734
156,19897398
157,19899339
158,19901410
159,19902959
160,19903256
161,19903331
162,19904050
163,19906416
164,19908510
165,19908777
166,19910313
167,19910750
168,19912719
169,19913216
170,19915246
171,19916080
172,19918711
173,19920332
174,19921844
175,19922312
176,19923182
177,19924029
178,19924131
180,19931074
181,19932075
182,19933144
183,19935937
184,19936797
185,19937089
186,19938222
187,19939462
188,19941104
190,19942084
191,19942709
193,19947841
194,19948952
195,19949431
196,19950713
197,19951910
198,19951952
199,19953134
200,19954636
201,19957266
202,19957783
203,19958469
204,19960316
205,19960891
206,19961509
207,19961800
208,19961822
209,19963884
210,19964071
211,19964364
212,19965037
213,19965470
214,19967628
215,19969975
216,19972588
217,19977144
218,19980238
219,19981113
220,19981331
221,19983560
222,19984054
223,19987582
224,19988661
225,19990875
226,19990933
227,19991542
228,19992259
230,19992441
231,19992489
232,19997683
233,19997715
234,19999879
235,19999974
236,20000699
237,20004037
238,20004932
240,20006334
241,20006814
242,20007158
243,20007580
244,20008858
245,20009789
247,20012328
248,20013074
249,20013217
250,20013478
251,20014463
252,20014778
253,20016532
254,20016569
255,20016592
256,20018364
257,20019551
258,20020995
259,20021054
260,20021366
261,20021519
262,20021570
263,20022011
264,20026558
265,20028410
266,20028414
267,20028881
268,20028937
269,20031270
270,20032658
271,20034206
272,20035215
273,20035224
274,20036652
275,20037615
276,20043372
277,20043398
278,20045870
279,20046337
280,20046748
281,20051141
283,20057310
284,20057642
285,20057781
286,20058806
287,20058852
288,20059002
290,20060673
291,20062801
292,20063491
293,20063832
294,20064180
295,20064763
296,20065740
298,20067441
299,20067541
300,20070261
301,20070646
302,20071189
303,20071302
304,20072110
305,20072156
306,20072279
307,20072864
308,20073419
309,20074079
310,20078108
311,20079585
312,20079963
313,20083304
314,20089100
315,20089502
