,user_id
29,19754788
43,19771524
51,19778437
70,19800386
76,19810141
119,19849314
139,19872295
179,19928032
189,19941874
192,19942783
229,19992283
239,20006066
246,20010513
282,20051686
289,20059871
297,20065805
358,20140602
374,20162949
376,20163723
383,20168072
406,20188168
436,20219799
440,20222734
442,20224204
454,20240846
455,20241103
464,20244646
471,20257314
474,20259854
477,20263204
483,20264755
489,20266342
492,20271386
497,20277158
504,20283936
506,20284771
509,20287415
515,20295843
516,20296151
523,20300049
524,20300110
526,20305765
531,20310614
535,20312208
536,20312575
556,20326868
579,20346842
586,20357705
588,20358110
593,20363950
610,20374059
611,20375574
614,20378144
616,20380178
645,20398207
648,20400223
650,20402054
664,20420740
675,20425111
688,20440456
696,20443835
697,20444317
700,20445500
717,20457365
729,20462650
747,20479763
757,20484843
765,20487606
770,20494356
794,20515540
795,20515551
799,20516861
802,20518689
807,20527340
809,20529629
819,20534940
820,20535552
836,20542395
852,20562404
867,20571708
868,20572556
886,20598906
896,20601989
905,20614363
907,20615650
910,20616466
914,20618999
917,20621224
920,20622810
924,20626701
927,20628311
931,20634255
935,20635876
941,20640638
944,20644369
958,20650558
959,20650742
971,20660975
972,20661179
973,20662466
974,20662739
990,20672099
1000,20683683
1026,20700435
1035,20714313
1042,20723884
1047,20725709
1048,20726156
1055,20729799
1099,20780102
1108,20782643
1111,20788918
1117,20792501
1158,20825434
1175,20845196
1182,20848037
1196,20865321
1233,20899800
1236,20901429
1246,20918857
1255,20921773
1269,20937481
1278,20943532
1286,20949417
1296,20959856
1299,20960273
1303,20964367
1372,21011447
1419,21048429
1443,21071660
1457,21086969
1463,21091584
1528,21140961
1535,21143344
1538,21145466
1541,21148932
1612,21222516
1623,21230438
1643,21260267
1722,21394638
1729,21409243
1732,21414611
1733,21415251
1740,21427573
1748,21433525
1755,21448102
1759,21449729
1774,21459217
1775,21459382
1788,21463374
1794,21464368
1795,21468310
1801,21475412
1814,21488652
1817,21490761
1826,21503003
1828,21505343
1830,21512264
1837,21516562
1840,21520696
1844,21532231
1848,21533950
1856,21543757
1863,21545317
1870,21563531
1879,21575838
1884,21578444
1886,21578772
1890,21581645
1893,21597458
1909,21610222
1913,21620404
1916,21630935
1925,21638263
1926,21638611
1931,21650087
1939,21658891
1944,21660870
1961,21683693
1970,21687535
1973,21694576
1984,21704330
1992,21708752
1997,21718476
1998,21720361
2006,21726207
2013,21727370
2016,21732426
2029,21744801
2051,21766913
2054,21769638
2057,21779876
2063,21783707
2070,21790566
2077,21803697
2099,21822753
2101,21824413
2105,21830491
2117,21841681
2145,21869083
2155,21879191
2158,21882145
2184,21913437
2193,21933608
2209,21956320
2218,21966793
2266,22026697
2277,22041478
2322,22086118
2328,22088572
2341,22097270
2343,22097867
2397,22145807
2401,22146265
2419,22160726
2429,22168101
2443,22174022
2461,22194076
2468,22196855
2470,22203215
2476,22210517
2484,22213781
2486,22215590
2496,22222128
2506,22232677
2528,22253283
2591,22294883
2682,22369377
2693,22381096
2700,22394777
2706,22397692
2729,22415534
2730,22416972
2795,22481297
2799,22484118
2800,22486298
2801,22493235
2815,22502471
2826,22521939
2827,22528205
2861,22564091
2894,22600922
2908,22617586
2920,22635062
2943,22654124
2945,22655607
2953,22668976
2958,22671859
2961,22679255
2967,22687981
2968,22688122
2979,22712501
2989,22738522
3012,22783318
3048,22822740
3057,22827125
3074,19722758
3076,19725132
3082,19735290
3083,19737069
3101,19760419
3103,19761260
3115,19769525
3134,19789281
3139,19799143
3141,19799914
3147,19806142
3151,19811230
3159,19821802
3170,19831949
3173,19836215
3175,19836697
3178,19838750
3184,19841335
3188,19848845
3190,19852218
3191,19852228
3204,19862197
3211,19863474
3217,19877055
3225,19888327
3231,19894165
3252,19911902
3283,19943664
3287,19952459
3294,19960529
3295,19960896
3304,19976469
3306,19977973
3323,19992453
3360,20037928
3361,20039142
3363,20039883
3377,20047951
3385,20061590
